start,finish,task
2023-02-20 09:23:38.540003,2023-02-20 09:23:39.618999,
2023-02-20 09:23:39.619988,2023-02-20 09:38:44.464687,fusion
2023-02-20 09:38:44.476689,2023-02-20 09:53:45.886545,fusion
2023-02-20 09:53:45.897543,2023-02-20 10:08:47.389499,fusion
2023-02-20 10:08:47.403502,2023-02-20 10:32:45.819064,coffee
2023-02-20 10:32:45.832065,2023-02-20 10:47:57.089622,hosp can re revievww
2023-02-20 10:47:57.100625,2023-02-20 11:03:01.208594,hosp can re revievww
2023-02-20 11:03:01.222557,2023-02-20 11:18:02.876621,hosp can re revievww
2023-02-20 11:18:02.889623,2023-02-20 11:38:21.849107,hosp can re revievww
2023-02-20 11:38:21.865108,2023-02-20 12:33:35.401482,lunch
2023-02-20 12:33:35.433484,2023-02-20 12:48:38.900277,st m
2023-02-20 12:48:38.912277,2023-02-20 13:03:40.558842,st m
2023-02-20 13:03:40.586838,2023-02-20 13:18:42.458501,st m
2023-02-20 13:18:42.473589,2023-02-20 13:33:44.406367,st m
2023-02-20 13:33:44.424368,2023-02-20 13:48:47.772312,st m
2023-02-20 13:48:47.802315,2023-02-20 14:03:57.037510,st m
2023-02-20 14:03:57.070611,2023-02-20 14:19:05.120027,hospital
2023-02-20 14:19:05.162476,2023-02-20 14:34:26.723550,hospital
2023-02-20 14:34:26.749142,2023-02-20 14:49:30.846043,st m
2023-02-20 14:49:30.864044,2023-02-20 15:04:32.391118,st m
2023-02-20 15:04:32.413135,2023-02-20 15:19:33.597499,st m
2023-02-20 15:19:33.612500,2023-02-20 16:04:54.730308,st m
2023-02-20 16:04:54.747305,2023-02-20 16:19:56.346784,st m
2023-02-20 16:19:56.362786,2023-02-20 16:34:57.857538,st m
2023-02-20 16:34:57.871539,2023-02-20 16:49:59.329758,st m
2023-02-20 16:49:59.346759,2023-02-20 17:05:00.606019,st m
2023-02-20 17:05:00.619307,2023-02-20 17:20:01.959249,st m
2023-02-21 08:58:10.211879,2023-02-21 08:58:10.717878,
2023-02-21 08:58:10.718879,2023-02-21 09:13:14.619499,st m
2023-02-21 09:13:14.656590,2023-02-21 09:28:19.011331,st marks
2023-02-21 09:28:19.023333,2023-02-21 09:43:20.734964,st marks
2023-02-21 09:43:20.745969,2023-02-21 09:58:21.800981,st marks
2023-02-21 09:58:21.808980,2023-02-21 10:13:25.158647,st marks
2023-02-21 10:13:25.170974,2023-02-21 10:28:27.475864,st marks
2023-02-21 10:28:27.489865,2023-02-21 10:51:56.845944,walk
2023-02-21 10:51:56.857137,2023-02-21 11:07:40.417862,walk
2023-02-21 11:07:40.426866,2023-02-21 11:22:50.057565,tnoar street
2023-02-21 11:22:50.067566,2023-02-21 11:37:55.163172,tnoar street
2023-02-21 11:37:55.176169,2023-02-21 11:52:57.415967,tnoar street
2023-02-21 11:52:57.428970,2023-02-21 12:08:00.315492,tnoar street
2023-02-21 12:08:00.327488,2023-02-21 12:30:11.967965,talking to Izaac
2023-02-21 12:30:11.977967,2023-02-21 12:45:14.069317,talking to Izaac
2023-02-21 14:07:47.118418,2023-02-21 14:07:47.550421,
2023-02-21 14:07:47.552417,2023-02-21 14:37:51.201224,tonar
2023-02-21 14:37:51.214223,2023-02-21 15:07:53.731633,tonar
2023-02-21 15:07:53.744646,2023-02-21 15:22:54.022614,tonar
2023-02-21 15:22:54.031617,2023-02-21 15:37:55.614656,tonar
2023-02-21 15:37:55.623657,2023-02-21 15:52:58.793949,tonar
2023-02-21 15:52:58.814950,2023-02-21 16:08:00.449451,tonar
2023-02-21 16:08:00.463272,2023-02-21 16:23:33.571729,tonar
2023-02-21 16:23:33.588723,2023-02-21 16:53:41.150905,hop brick
2023-02-21 16:53:41.164902,2023-02-22 08:56:18.944765,hop brick
2023-02-22 08:56:18.959148,2023-02-22 09:15:55.787524,hop brick
2023-02-22 09:15:55.804526,2023-02-22 09:31:05.056661,parkwood bays
2023-02-22 09:31:05.071657,2023-02-22 09:46:53.428753,parkwood bays
2023-02-22 09:46:53.441762,2023-02-22 10:01:55.742022,parkwood bays
2023-02-22 11:15:31.187381,2023-02-22 11:15:31.406381,
2023-02-22 11:15:31.424379,2023-02-22 11:33:07.826428,birck on hosp
2023-02-22 11:33:07.839430,2023-02-22 11:48:09.503817,birck on hosp
2023-02-22 11:48:09.515944,2023-02-22 12:05:36.439448,birck on hosp
2023-02-22 12:05:36.453453,2023-02-22 12:20:53.056316,round table
2023-02-22 12:20:53.075312,2023-02-22 12:35:56.587907,round table
2023-02-22 12:35:56.608680,2023-02-22 12:51:01.629500,round table
2023-02-22 12:51:01.652498,2023-02-22 13:06:04.997148,round table
2023-02-22 13:06:05.048078,2023-02-22 13:54:35.473359,round table
2023-02-22 13:54:35.485360,2023-02-22 14:09:39.805749,round table
2023-02-22 14:09:39.820595,2023-02-22 14:25:38.438400,park res
2023-02-22 14:25:38.449397,2023-02-22 14:40:52.375834,park res
2023-02-22 14:40:52.388838,2023-02-22 14:56:03.732255,park res
2023-02-22 14:56:03.747819,2023-02-22 15:11:12.623419,park res balutrade
2023-02-22 15:11:12.635422,2023-02-22 15:26:13.887403,park res balutrade
2023-02-22 15:26:13.911422,2023-02-22 15:41:15.986068,park res balutrade
2023-02-22 15:41:16.000071,2023-02-22 16:48:25.158238,park res balutrade
2023-02-22 16:48:25.170239,2023-02-22 17:03:36.682046,park res balutrade
2023-02-22 17:03:36.697041,2023-02-22 17:18:37.874200,park res balutrade
2023-02-22 17:18:37.899660,2023-02-22 17:33:39.250810,park res balutrade
2023-02-22 17:33:39.262814,2023-02-22 17:49:20.385944,park res balutrade
2023-02-22 17:49:20.400948,2023-02-22 18:04:23.020723,park res balutrade
2023-02-22 18:04:23.035724,2023-02-22 18:19:44.741045,park res balutrade
2023-02-22 18:19:44.755042,2023-02-22 18:34:47.376002,park res balutrade
2023-02-22 18:34:47.389001,2023-02-22 18:49:49.946779,park res balutrade
2023-02-22 18:49:49.965793,2023-02-24 09:06:53.684575,park res balutrade
2023-02-24 09:06:53.710582,2023-02-24 09:21:57.851474,timesheet
2023-02-24 09:21:57.864475,2023-02-24 09:37:02.745899,timesheet
2023-02-24 09:37:02.767296,2023-02-24 09:52:03.934364,timesheet
2023-02-24 09:52:03.945364,2023-02-24 10:26:51.843362,timesheet
2023-02-24 10:26:51.856365,2023-02-24 10:43:35.931182,ndh
2023-02-24 10:43:35.943181,2023-02-24 11:03:17.878243,ndh
2023-02-24 11:03:17.896243,2023-02-24 11:18:28.683784,team meeint
2023-02-24 11:18:28.705123,2023-02-24 12:48:56.690151,lunch
2023-02-24 12:48:56.701152,2023-02-24 13:04:01.438416,ndh
2023-02-24 13:04:01.451421,2023-02-24 13:19:03.141998,ndh
2023-02-24 13:19:03.154998,2023-02-24 13:34:05.338902,ndh
2023-02-24 13:34:05.357900,2023-02-24 13:49:08.909378,ndh
2023-02-24 13:49:08.923375,2023-02-24 14:09:25.813340,ndh
2023-02-24 14:09:25.827342,2023-02-24 14:24:27.550620,ndh
2023-02-24 14:24:27.566639,2023-02-24 14:39:29.884695,ndh
2023-02-24 14:39:29.900694,2023-02-24 15:00:15.893770,ndh
2023-02-24 15:00:15.908768,2023-02-24 15:15:18.075567,ndh
2023-02-24 15:15:18.084559,2023-02-24 15:30:19.458546,ndh
2023-02-24 15:30:19.477549,2023-02-24 15:45:52.203271,antartica
2023-02-24 15:45:52.219274,2023-02-24 16:00:55.053242,antartica
